MAG_AUTO_u	MAG_AUTO_g	MAG_AUTO_r	MAG_AUTO_i	u-r	r-i	class
continuous	continuous	continuous	continuous	continuous	continuous	0 1
						class
20.3694	19.7454	19.4705	19.4016	0.899	0.069	1
22.7016	21.6332	20.8032	20.3647	1.898	0.438	1
21.4825	20.9827	20.7303	20.3871	0.752	0.343	1
20.3327	19.8997	19.8540	19.8800	0.479	-0.026	1
21.3119	19.4563	19.1439	19.0561	2.168	0.088	1
21.5345	21.2051	21.1074	21.1602	0.427	-0.053	1
21.3425	19.8709	19.5062	19.2471	1.836	0.259	1
22.7477	21.6651	21.4818	21.4392	1.266	0.043	1
20.6218	20.0767	19.9330	19.9143	0.689	0.019	1
21.3748	20.5801	20.6063	20.4571	0.768	0.149	1
21.8584	21.3986	21.5487	21.5939	0.310	-0.045	1
21.4360	20.8359	21.0138	20.9404	0.422	0.073	1
21.1248	20.6805	20.6980	20.6444	0.427	0.054	1
21.1638	20.7110	20.7927	20.7724	0.371	0.020	1
22.5567	21.2900	21.0799	21.1114	1.477	-0.031	1
20.2652	19.5625	19.3912	19.3236	0.874	0.068	1
21.0241	20.2792	20.1424	19.9227	0.882	0.220	1
21.8938	21.1894	20.8993	20.8419	0.995	0.057	1
20.4783	20.0044	19.8771	19.9178	0.601	-0.041	1
22.3785	21.7335	21.7166	21.7706	0.662	-0.054	1
21.5293	21.0903	21.0568	20.6935	0.472	0.363	1
21.1827	20.9424	20.8424	20.8137	0.340	0.029	1
20.6700	19.7298	19.6006	19.4708	1.069	0.130	1
21.4656	21.2202	21.0143	21.1391	0.451	-0.125	1
18.7518	18.0688	18.0598	17.9504	0.692	0.109	1
21.1920	20.8375	20.5248	20.1443	0.667	0.380	1
21.5331	20.3086	20.2190	20.1120	1.314	0.107	1
21.9876	21.5695	21.4843	21.5531	0.503	-0.069	1
22.3208	21.2234	20.4919	19.8470	1.829	0.645	1
20.1340	19.3728	19.3270	19.3676	0.807	-0.041	1
24.1013	22.0284	21.9576	21.5301	2.144	0.427	1
21.7071	21.0306	20.7191	20.4843	0.988	0.235	1
21.5211	19.7542	19.6242	19.5646	1.897	0.060	1
22.4260	21.3021	21.2311	21.0226	1.195	0.208	1
22.3227	21.2575	20.9227	20.4625	1.400	0.460	1
21.3512	20.5713	19.9876	19.7305	1.364	0.257	1
22.7330	21.4745	21.1152	21.1642	1.618	-0.049	1
24.2907	21.4617	21.2654	21.0542	3.025	0.211	1
22.0715	21.6182	21.4724	21.4423	0.599	0.030	1
23.1622	21.3324	21.2447	21.4973	1.918	-0.253	1
22.5273	22.0826	21.6139	21.8966	0.913	-0.283	1
22.4421	21.0009	20.6218	20.5593	1.820	0.063	1
21.1598	20.8461	20.9364	20.7826	0.223	0.154	1
21.5780	21.3849	21.3709	21.4586	0.207	-0.088	1
19.1802	18.2487	18.1698	18.1133	1.010	0.056	1
20.4223	19.7904	19.5512	19.4572	0.871	0.094	1
21.5660	21.2566	20.7764	20.6401	0.790	0.136	1
19.6488	19.0599	19.0286	18.9693	0.620	0.059	1
21.1913	20.7313	20.7484	20.4743	0.443	0.274	1
22.1593	20.9632	20.8693	21.2630	1.290	-0.394	1
21.8862	21.2354	21.2510	21.2956	0.635	-0.045	1
22.8389	21.9054	21.4652	21.3746	1.374	0.091	1
21.0392	20.7081	20.5612	20.3566	0.478	0.205	1
22.3150	21.6178	21.8509	21.9529	0.464	-0.102	1
20.8865	20.4841	20.6031	20.3328	0.283	0.270	1
21.9649	21.1001	20.6807	20.6144	1.284	0.066	1
21.8346	21.0750	20.8853	20.8210	0.949	0.064	1
22.6365	22.0413	21.7410	21.2827	0.896	0.458	1
21.4927	20.6629	20.4906	20.3371	1.002	0.154	1
21.8717	20.9258	20.7130	20.7384	1.159	-0.025	1
20.8912	20.0202	19.9805	19.9634	0.911	0.017	1
21.5191	20.8198	20.7474	20.7348	0.772	0.013	1
22.2194	20.7663	20.5949	20.6099	1.625	-0.015	1
22.1821	21.3529	21.1088	21.1224	1.073	-0.014	1
21.4458	20.8571	20.8892	20.9023	0.557	-0.013	1
